ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
EVH,"Evolent Health, Inc",26.19,3.43601896,0.87,買い,609800,2285543038.329573,,-0.8569,2900,商業サービス,24.16235484,19.52720868
RCKT,"Rocket Pharmaceuticals, Inc.",35.92,-1.80426463,-0.66,売り,308178,2285075502.1191907,,-2.8069,91,健康テクノロジー,33.68152294,40.16047811
ATI,Allegheny Technologies Incorporated,17.94,-0.49916805,-0.09,売り,786672,2282786660.6447597,,-9.6998,6500,非エネルギー鉱物,18.50242439,19.26989999
SILK,"Silk Road Medical, Inc.",65.8,1.73160173,1.12,買い,253224,2282193703.1809874,,-1.4141,281,健康テクノロジー,55.28779291,51.88697538
PING,Ping Identity Holding Corp.,27.79,4.12139378,1.1,強い買い,1090311,2281886953.76,,-0.3891,1022,テクノロジーサービス,25.09163519,24.98642824
IGMS,"IGM Biosciences, Inc.",71.09,-5.03606733,-3.77,強い売り,119403,2279300998.8687835,,-3.5576,107,健康テクノロジー,74.26555247,75.85497721
INTA,"Intapp, Inc.",38.7,1.36196962,0.52,買い,270544,2274676302.029103,,-0.7097,682,テクノロジーサービス,36.23451876,
JACK,Jack In The Box Inc.,104.89,-0.5027509,-0.53,売り,173194,2273128525.9215794,14.72318746,7.2463,5200,消費者サービス,104.78731248,103.97153878
EQX,Equinox Gold Corp.,7.56,4.1322314,0.3,買い,1726244,2271394092.470588,5.32161983,1.64313979,,非エネルギー鉱物,6.77520043,8.22467133
VAL,Valaris Limited,30.07,-0.36447979,-0.11,買い,293546,2255251347.013266,,-55.7884,4500,工業サービス,27.64762491,
STFC,State Auto Financial Corporation,50.96,-0.03923107,-0.02,買い,141033,2253833105.090263,22.98751419,2.2281,2025,金融,49.72236337,28.93136674
AUPH,Aurinia Pharmaceuticals Inc,17.54,-0.05698006,-0.01,買い,1654650,2252064640.7102466,,-1.2185,294,健康テクノロジー,15.66999631,13.74324701
ZUO,"Zuora, Inc.",18.4,2.44988864,0.44,強い買い,789241,2250319969.473684,,-0.6363,1190,テクノロジーサービス,16.82524149,15.38576233
IOSP,Innospec Inc.,91.31,-1.08330625,-1,売り,68645,2250052286.08568,28.34725154,3.2968,1900,素材産業,92.06701989,92.08193804
ESE,ESCO Technologies Inc.,86.33,-1.39348943,-1.22,強い売り,107366,2249883453.238453,100.27378508,0.8871,2844,電子テクノロジー,89.95731542,95.81235545
MLNK,"MeridianLink, Inc.",27.85,2.27690048,0.62,買い,219668,2247622243.289731,337.41765481,0.0759,472,テクノロジーサービス,25.42297934,
EPC,Edgewell Personal Care Company,41.34,-1.45411204,-0.61,売り,473724,2247377667.224404,25.09090909,1.7266,5800,非耐久消費財,42.86541787,39.40635075
HMY,Harmony Gold Mining Company Limited,3.51,-0.56657224,-0.02,強い売り,9541607,2244430213.848828,6.65704492,0.5678,,非エネルギー鉱物,3.69537249,4.31452227
ASTS,"AST SpaceMobile, Inc.",12.36,-0.16155089,-0.02,買い,1077401,2243707158.5383363,,-2.2004,,通信,10.88844548,10.82328049
WAFD,"Washington Federal, Inc.",33.01,-0.21160822,-0.07,中立,448012,2242909088.7265315,15.5161109,2.1365,2080,金融,33.04597083,30.8652932
FFBC,First Financial Bancorp.,23.33,-0.25651988,-0.06,売り,286413,2232735514.7990594,12.15191189,1.9411,2107,金融,23.35685412,22.19455949
CRTO,Criteo S.A.,36.02,-0.74400661,-0.27,売り,211658,2226702904,26.13864222,1.4549,2594,テクノロジーサービス,37.57472563,33.10197195
CSIQ,Canadian Solar Inc.,37.12,-1.25033254,-0.47,売り,434641,2217894361.3023257,48.04160781,0.8261,12774,製造加工,37.19675977,39.87762558
CTOS,"Custom Truck One Source, Inc.",8.98,2.74599542,0.24,買い,834679,2217693451.5199094,,-0.4336,380,金融,8.13572334,7.97238284
TDS,"Telephone and Data Systems, Inc.",20.63,0.48709206,0.1,売り,442084,2216524304.6154222,14.16052302,1.4809,9200,通信,20.34685159,21.79869135
IBA,"Industrias Bachoco, S.A.B. de C.V.",44.6723,0.43232914,0.1923,買い,9660,2215278246.357828,8.86764529,5.0016,,素材産業,43.89039228,43.32908614
TREE,"LendingTree, Inc.",166.17,-1.63381282,-2.76,売り,113136,2212559778.762264,,-0.5675,1303,金融,171.31024509,225.65042084
ROVR,"Rover Group, Inc.",14.07,3.45588235,0.47,強い買い,779009,2211791865.7596774,,,2,金融,11.35170515,
CGAU,Centerra Gold Inc.,7.45,1.4986376,0.11,売り,70463,2210973151.7902546,,-1.17976258,3820,非エネルギー鉱物,7.43900727,
AEVA,"Aeva Technologies, Inc.",10.4,0,0,買い,968091,2206556772.798395,,-0.2954,,電子テクノロジー,9.44465592,10.48927381
PAX,Patria Investments Limited,16.2,-0.30769231,-0.05,買い,39356,2205589460.073937,,,158,金融,16.08223564,
SDC,"SmileDirectClub, Inc.",5.66,-1.22164049,-0.07,売り,9494685,2196720403.6489944,,-0.5878,4000,健康サービス,5.52849648,8.68026395
SNBR,Sleep Number Corporation,92.76,1.01274093,0.93,売り,267422,2191176767.9793105,12.58748847,7.6493,4679,耐久消費財,95.95372472,99.25951965
CNR,"Cornerstone Building Brands, Inc.",17.36,-1.08262108,-0.19,買い,481287,2188245776.7634854,54.29674928,0.3116,20230,製造加工,16.52779949,14.2133965
FRME,First Merchants Corporation,40.39,-0.98063251,-0.4,強い売り,100040,2187670290.143657,11.92093347,3.4565,1907,金融,41.23332694,40.7480147
JBI,"Janus International Group, Inc.",15.76,1.22029544,0.19,買い,636791,2180935719.384616,,-1.4078,2,非エネルギー鉱物,14.71554494,12.85095517
XPER,Xperi Holding Corporation,20.81,-0.71564885,-0.15,売り,472819,2180253237.851325,14.63211861,1.4672,1850,電子テクノロジー,20.94518567,20.26474782
IDCC,"InterDigital, Inc.",71,-1.29292368,-0.93,売り,87093,2180207269.83707,75.51793038,0.9615,514,電子テクノロジー,71.17741042,68.40239073
BFLY,"Butterfly Network, Inc.",13.01,0.38580247,0.05,買い,2083877,2179514609.645187,,-2.5753,260,健康テクノロジー,11.76293635,12.91452716
NIU,Niu Technologies,29.15,2.64084507,0.75,買い,569422,2176888541,67.71055753,0.4426,623,耐久消費財,26.40040619,29.70068457
RLGY,Realogy Holdings Corp.,18.67,-0.5857295,-0.11,買い,722384,2176627145.366738,6.49539506,2.9414,9435,金融,17.70562909,15.89710072
BSIG,BrightSphere Investment Group Inc.,27.4,0.21945867,0.06,買い,351951,2175299595.1582046,7.78618082,3.5877,800,金融,26.7224145,21.73197571
DY,"Dycom Industries, Inc.",70.67,-2.01053799,-1.45,強い売り,587938,2175130236.598626,46.62091503,1.557,14276,工業サービス,72.86884094,74.9061091
BLFS,"BioLife Solutions, Inc.",53.26,-4.65449338,-2.6,買い,666223,2167671272.29157,1229.67479675,0.0606,199,健康テクノロジー,52.03216898,39.28813045
PRCH,"Porch Group, Inc.",22.39,1.81900864,0.4,強い買い,979016,2165879200.6208043,,,1000,テクノロジーサービス,19.30617854,16.46804497
NUVB,Nuvation Bio Inc.,9.9,1.43442623,0.14,買い,425760,2165714970.3529415,,-0.6503,36,健康テクノロジー,9.19013162,10.16186128
GMS,GMS Inc.,50.25,-1.97034725,-1.01,買い,328433,2164915392.417526,19.92604766,2.4673,5843,流通サービス,49.61503621,41.26083542
SBGI,"Sinclair Broadcast Group, Inc.",28.65,-2.58415505,-0.76,強い売り,299271,2162783251.048986,,-41.7791,11600,消費者サービス,29.57097777,29.9435021
TR,"Tootsie Roll Industries, Inc.",31.59,-0.90966123,-0.29,売り,182291,2159726642.8865423,35.89772599,0.8839,2000,非耐久消費財,32.53175974,32.58938696
TOWN,Towne Bank,29.7,-1.42714902,-0.43,売り,117965,2156932816.6909094,10.47473943,2.8914,2490,金融,30.40400234,28.53460267
FLWS,"1-800-FLOWERS.COM, Inc.",33.13,1.65694998,0.54,強い買い,297974,2156258626.8795443,18.25646794,1.8312,,小売業,31.48354726,29.63527791
ALEC,"Alector, Inc.",26.64,-4.48189315,-1.25,売り,581069,2154521184.4858303,,-2.6779,171,健康テクノロジー,26.98453279,22.17336868
SRNG,Soaring Eagle Acquisition Corp.,9.98,0.05012531,0.005,買い,6985288,2151937558.0581746,,,,金融,9.96680388,
AMRN,Amarin Corporation plc,5.29,-2.03703704,-0.11,売り,2814581,2146056412.9999995,543,0.0105,1000,健康テクノロジー,5.33244299,5.56021026
ADCT,ADC Therapeutics SA,27.95,-6.83333333,-2.05,買い,401246,2144512304.068895,,-2.6331,208,健康テクノロジー,27.12142242,27.66401676
RVMD,"Revolution Medicines, Inc.",29.1,-2.41448692,-0.72,中立,286855,2141208214.4470828,,-2.0645,125,健康テクノロジー,27.93712891,33.65709974
ORGO,Organogenesis Holdings Inc.,16.65,-0.53763441,-0.09,買い,547015,2140920291.5470583,29.56007651,0.5969,910,健康テクノロジー,15.77986177,14.1268975
BALY,Bally's Corporation,48,-1.78023327,-0.87,強い売り,254619,2140374132.8958163,25.1937584,1.9706,5455,消費者サービス,48.92363237,49.2254796
ANF,Abercrombie & Fitch Company,34.78,-1.22124396,-0.43,売り,1747298,2140274118.8097231,8.3952992,4.4282,34000,小売業,37.13048749,33.52334831
CCCC,"C4 Therapeutics, Inc.",44.13,1.28528804,0.56,強い買い,513270,2138286678.8037117,,-1.8957,99,健康テクノロジー,41.2784673,36.76020577
HIMX,"Himax Technologies, Inc.",12.51,1.70731707,0.21,中立,2331940,2136918040,9.77671451,1.2557,2056,電子テクノロジー,12.67226454,11.51284566
AAWW,Atlas Air Worldwide Holdings,73.57,-0.44654939,-0.33,買い,239534,2135361031.7658737,4.72361551,16.3975,4061,交通,73.28217969,64.63693992
WSBC,"WesBanco, Inc.",32.57,-1.6903109,-0.56,強い売り,220123,2130197802.6860297,9.80804628,3.428,2612,金融,33.71177867,33.33835075
KEN,Kenon Holdings Ltd.,39.52,-0.80321285,-0.32,買い,7199,2129302749.1776652,3.76054671,10.4772,124,施設サービス事業,38.14852287,31.90974398
GTN,"Gray Television, Inc.",22.32,-2.31947484,-0.53,買い,437905,2126577084.8432996,5.86864081,3.9423,7017,消費者サービス,22.33646576,20.37005171
WSFS,WSFS Financial Corporation,44.73,-0.37861915,-0.17,売り,125135,2126250113.2401516,8.05182703,5.6446,1838,金融,44.95772476,45.1684564
FMBI,"First Midwest Bancorp, Inc.",18.58,-0.21482277,-0.04,中立,366443,2123673396.9339108,14.2131198,1.3058,2074,金融,18.52998821,18.67303232
THS,"Treehouse Foods, Inc.",38.09,-1.37234593,-0.53,売り,851707,2123157526.6856775,57.41626794,0.673,10900,非耐久消費財,38.04584158,44.91490009
PRLB,"Proto Labs, Inc.",76.37,-1.17753623,-0.91,売り,245651,2120112283.85838,50,1.5082,2408,製造加工,75.32751467,106.37724937
XPEL,"XPEL, Inc.",76.77,-1.20962553,-0.94,中立,179907,2119819180.3644156,71.52145644,1.0766,330,耐久消費財,77.40639773,65.88703331
GCMG,GCM Grosvenor Inc.,11.31,-1.48083624,-0.17,買い,608800,2113610978.1623037,,0.3018,492,金融,11.10988022,11.33040768
BMA,Banco Macro S.A.,17.77,-1.00278552,-0.18,買い,175623,2108804380.0941052,4.07882778,0.4511,8561,金融,16.51930459,15.73965869
TWNK,"Hostess Brands, Inc.",16.19,-0.55282555,-0.09,買い,924097,2106205884.7241597,20.987977,0.797,3000,非耐久消費財,15.89456761,15.16335174
AKO.A,Embotelladora Andina S.A.,11.85,-0.42016807,-0.05,売り,160,2101710229.440163,12.14409634,0.9799,,非耐久消費財,11.86308385,12.69773606
AKO.B,Embotelladora Andina S.A.,14.12,-2.35131397,-0.34,買い,2308,2101710229.440163,13.88594036,1.0363,,非耐久消費財,13.98328861,14.37258139
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",20.26,2.47850278,0.49,買い,310283,2100178584.745844,,-0.1598,4846,交通,19.7190506,16.31476808
STGW,Stagwell Inc.,8.12,12,0.87,強い買い,513615,2099634199.688098,,-3.1947,4866,商業サービス,6.80080892,4.55672821
RAVN,"Raven Industries, Inc.",58.35,0.18887363,0.11,買い,140704,2095794055.9802067,82.88159772,0.7071,1290,製造加工,58.12648961,45.01263379
CPG,Crescent Point Energy Corporation,3.6,-1.90735695,-0.07,中立,2350415,2094027117.5784752,1.21368157,2.93143826,735,エネルギー鉱物,3.49528538,3.47016603
KAR,"KAR Auction Services, Inc",17.53,-0.9044658,-0.16,買い,1402608,2089299508.024684,61.59830269,0.2855,10000,商業サービス,17.352199,17.09516166
UCTT,"Ultra Clean Holdings, Inc.",46.72,0.34364261,0.16,買い,257085,2088384077.7975132,21.18532455,2.1712,4996,電子テクノロジー,45.33747648,44.96866133
OR,Osisko Gold Royalties Ltd,12.42,2.89975145,0.35,買い,462084,2087826901.8963935,189.67361675,0.06379714,124,非エネルギー鉱物,12.3013436,12.45293442
SJW,SJW Group,70,-1.06007067,-0.75,買い,61606,2086344965.868857,32.74894485,2.1674,748,施設サービス事業,69.09539805,65.85614962
SAH,"Sonic Automotive, Inc.",50,0.38144951,0.19,売り,283409,2085797420.518822,7.86530644,6.8271,8100,小売業,50.55245849,46.50542797
GTN.A,"Gray Television, Inc.",20.12,-2.22235181,-0.4573,中立,136,2078454434.6502607,5.41267483,3.9423,7017,消費者サービス,20.24533382,18.52401356
IRWD,"Ironwood Pharmaceuticals, Inc.",12.75,-2.74599542,-0.36,売り,1797740,2076911570.911831,4.25102512,3.1495,232,健康テクノロジー,13.15716871,11.80553842
INT,World Fuel Services Corporation,32.65,-0.03061849,-0.01,買い,402643,2073348658.1987672,17.97186531,1.8142,4300,流通サービス,32.17921645,31.75948612
INNV,InnovAge Holding Corp.,15.27,-0.65061809,-0.1,売り,286991,2069337097.0944028,,-0.2867,,テクノロジーサービス,15.56350554,
POSH,"Poshmark, Inc.",27.11,-2.094619,-0.58,売り,818222,2067110465.9228144,,,558,小売業,29.68442135,
TBK,"Triumph Bancorp, Inc.",82.27,-0.48385146,-0.4,買い,86332,2066073161.9273407,18.19184853,4.6072,1125.5,金融,81.07120665,71.26870205
UNFI,"United Natural Foods, Inc.",36.63,-1.53225806,-0.57,買い,215297,2064095493.8006513,13.79039497,2.8493,28300,流通サービス,35.208181,30.70379093
HRMY,"Harmony Biosciences Holdings, Inc.",36.15,3.28571429,1.15,買い,311905,2060856306.639918,117.8878569,0.302,150,健康テクノロジー,33.09238835,33.31260561
CSWI,"CSW Industrials, Inc.",130.93,-0.81060606,-1.07,買い,23105,2060078839.2565427,41.40480591,3.1567,2300,素材産業,130.17296476,118.29586789
AFYA,Afya Limited,22.06,0.22716947,0.05,中立,97267,2056054244.6988509,43.25775656,0.5085727,5260,消費者サービス,21.75001144,23.51985307
PRGS,Progress Software Corporation,46.75,0.17141633,0.08,買い,251133,2045534365.204584,28.30291639,1.6666,1796,テクノロジーサービス,45.93509353,44.10683141
MFGP,Micro Focus Intl PLC,5.79,-2.3608769,-0.14,売り,232779,2043495075.7018,,-6.4831,11900,テクノロジーサービス,5.83918833,6.28806477
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,31.44,0.64020487,0.2,買い,683671,2040456047.667097,,-0.3037,3987,金融,28.54265102,24.22433012
RERE,AiHuiShou International Co. Ltd.,9.22,0.43572985,0.04,売り,283533,2039037730,,,,小売業,10.12450165,
CNK,"Cinemark Holdings, Inc.",17.01,-0.9895227,-0.17,中立,2885131,2034857485,,-6.2001,18000,消費者サービス,16.38915055,18.76882078
SASR,"Sandy Spring Bancorp, Inc.",43.03,-0.66943675,-0.29,売り,86288,2032188666.1744645,8.8799296,4.911,1152,金融,43.12362001,40.12725966
MOR,MorphoSys AG,14.76,-1.27090301,-0.19,中立,25601,2031780002.5756,,-0.9242,615,健康テクノロジー,14.37584687,21.1651885
DVAX,Dynavax Technologies Corporation,17.68,-0.05652911,-0.01,買い,4589150,2028958456.336842,,-0.0568,245,健康テクノロジー,15.17916453,9.42412312
EVRI,Everi Holdings Inc.,22.46,-0.48737262,-0.11,売り,470754,2023407588.4481995,39.22218347,0.6471,1300,消費者サービス,22.68684072,18.06918135
HEP,"Holly Energy Partners, L.P.",19.19,-1.79119754,-0.35,中立,55502,2023397469.1623888,10.6570647,1.7913,644,工業サービス,18.79987959,18.85567482
UP,Wheels Up Experience Inc.,8.23,6.33074935,0.49,買い,4296551,2021186049.5249343,,,2161,電子テクノロジー,7.72101051,9.78376077
TSE,Trinseo S.A.,51.92,-0.44103547,-0.23,売り,243993,2015940742.2633395,5.15642475,10.2683,2600,素材産業,50.88479941,53.4982616
DNMR,"Danimer Scientific, Inc.",20.56,-1.01107366,-0.21,中立,1537252,2009371615.4365115,,-0.7647,190,素材産業,18.49133255,21.10634481
SAVA,"Cassava Sciences, Inc.",50.2,-7.63569457,-4.15,売り,27782479,2008737614.4149344,,-0.3658,11,健康テクノロジー,79.80797983,58.97913372
BNR,Burning Rock Biotech Limited,20.51,3.63820111,0.72,売り,118450,2007621744,,-0.9617,938,健康サービス,20.67963646,26.24388739
BTU,Peabody Energy Corporation,17.54,2.5131502,0.43,買い,3696181,2004822062.3145015,,-3.1041,4600,エネルギー鉱物,14.5050897,7.67302007
RUBY,"Rubius Therapeutics, Inc.",22.33,-2.06140351,-0.47,中立,242944,2004650712.7876344,,-2.0813,204,健康テクノロジー,22.18262778,19.25731991
FBK,FB Financial Corporation,42.23,0.76354092,0.32,買い,152000,2000151133.1369464,14.66070732,2.8592,1852,金融,40.62194538,38.39972288
NTCT,"NetScout Systems, Inc.",26.98,-0.84527747,-0.23,売り,1075543,1998828924.9650347,79.49093037,0.3464,2421,テクノロジーサービス,27.48560234,27.67738892
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)",17.68,-1.9412091,-0.35,強い売り,817600,1998431016.733945,8.73562135,2.1497,30000,小売業,18.69643035,18.28823136
MAPS,"WM Technology, Inc.",15.42,0.65274151,0.1,買い,801842,1992894888.471004,,-2.0106,3,テクノロジーサービス,14.03861039,15.57142491
CNTA,Centessa Pharmaceuticals plc,23.11,0.21682567,0.05,買い,9722,1992171111,,,,健康テクノロジー,21.4655755,
BGCP,"BGC Partners, Inc.",5.16,-0.9596929,-0.05,売り,1768185,1989602098.9575288,25.29296875,0.2093,5000,金融,5.28099635,4.97801021
EPAY,"Bottomline Technologies, Inc.",43.56,0.55401662,0.24,買い,360787,1988079716.5979383,,-0.3792,2344,テクノロジーサービス,41.73929372,42.53831802
IRNT,"IronNet, Inc.",16.66,23.40740741,3.16,強い買い,6997642,1987944094.7189147,,-0.6562,,金融,11.97168777,10.27784638
BKE,"Buckle, Inc. (The)",39.87,0,0,売り,594401,1984863456.9093509,8.78193431,4.4177,7200,小売業,41.24396228,38.44029005
HTLF,"Heartland Financial USA, Inc.",46.88,-0.29774564,-0.14,売り,62778,1980482522.974533,9.77978871,,2013,金融,46.89777979,45.74953738
HCSG,"Healthcare Services Group, Inc.",26.52,0.03772161,0.01,中立,365245,1979930083.9426415,22.16831186,1.1976,44200,商業サービス,26.32860316,28.16172396
PAGP,"Plains GP Holdings, L.P.",10.19,0,0,中立,1325786,1978122183.001018,,-0.0082,4400,工業サービス,10.0655907,10.19263646
USNA,"USANA Health Sciences, Inc.",98.84,1.86540245,1.81,買い,55779,1978013103.8902423,14.72530455,6.6874,1943,非耐久消費財,96.70307252,94.04783217
BGS,"B&G Foods, Inc.",30.51,0.22996058,0.07,買い,420879,1977844909.2749257,17.78602569,1.7136,3207,非耐久消費財,29.84703976,29.7712722
BASE,"Couchbase, Inc.",47.72,-0.58333333,-0.28,買い,422361,1976177239.8233545,,-1.1158,,テクノロジーサービス,41.55091354,
FCEL,"FuelCell Energy, Inc.",6.12,-4.6728972,-0.3,強い売り,14003695,1973671576.1067507,,-0.3616,316,電子テクノロジー,6.31767473,8.74093925
XNCR,"Xencor, Inc.",33.82,-2.05618303,-0.71,中立,148147,1972514687.93157,95.00136575,0.3972,202,健康テクノロジー,32.94859396,37.67948223
SLQT,"SelectQuote, Inc.",12.07,7.76785714,0.87,売り,7147694,1972115697.316804,13.76216353,0.8051,3300,金融,12.69374432,20.67581879
ATSG,"Air Transport Services Group, Inc",26.57,-2.24429728,-0.61,中立,500815,1971568758.5402725,22.38781392,1.8754,5305,交通,26.68909976,25.95202307
MSEX,Middlesex Water Company,112.59,-0.73179333,-0.83,買い,57809,1969262151.200498,51.00172242,2.2176,348,施設サービス事業,107.91288004,85.81927796
AMK,"AssetMark Financial Holdings, Inc.",26.68,-1.33136095,-0.36,買い,73032,1962209032.0598357,,-0.0055,732,金融,26.49522894,25.05369948
BVN,Buenaventura Mining Company Inc.,7.5,4.0221914,0.29,中立,1070092,1958306363.3286,,0.072,,非エネルギー鉱物,7.41588018,9.79676857
LTCH,"Latch, Inc.",13.86,1.76211454,0.24,強い買い,741614,1958014531.3080995,,-1.2212,294,電子テクノロジー,12.00866558,
GLUE,"Monte Rosa Therapeutics, Inc.",42.21,2.70072993,1.11,買い,193836,1957780837.6092715,,,,健康テクノロジー,35.65666054,
HTGC,"Hercules Capital, Inc.",16.89,-0.29515939,-0.05,売り,635141,1954902498.7348757,5.81399359,2.9672,82,金融,16.97016274,15.97721349
GSBD,"Goldman Sachs BDC, Inc.",19.2,-0.15600624,-0.03,買い,299752,1953520812.2948253,5.07319402,3.7708,,金融,19.15563253,18.93383385
BANR,Banner Corporation,56.52,-0.85949833,-0.49,買い,186846,1952863174.8588505,11.33605659,5.0505,2061,金融,56.06918733,52.29005829
WLL,Whiting Petroleum Corporation,49.82,-0.65802592,-0.33,買い,422420,1948856297.0363135,8.30789859,5.6681,405,エネルギー鉱物,45.87780253,36.77020819
RVNC,"Revance Therapeutics, Inc.",27.11,-0.91374269,-0.25,売り,257797,1947303707.398671,,-4.7249,470,健康テクノロジー,27.33374472,27.74502044
MHO,"M/I Homes, Inc.",66.4,-2.23792697,-1.52,買い,419281,1946723777.0753324,5.80906454,11.9506,1515,耐久消費財,64.42294962,57.29153123
RNST,Renasant Corporation,34.54,-0.2310803,-0.08,売り,166827,1946399749.0203729,12.28843441,2.8499,2524,金融,35.40396556,37.28834325
KALU,Kaiser Aluminum Corporation,122.61,-1.80988228,-2.26,売り,53678,1944572560.5421824,,-0.7314,2575,非エネルギー鉱物,123.06286544,112.66413977
TRMK,Trustmark Corporation,31.1,-0.35245114,-0.11,中立,293330,1942349531.604859,9.66774842,3.2445,2797,金融,31.10419552,30.51928451
CSTL,"Castle Biosciences, Inc.",76.79,-1.04381443,-0.81,買い,114611,1932602122.9581344,,-0.987,201,健康サービス,71.70893101,64.92610193
CLBK,"Columbia Financial, Inc.",18.09,-0.11043622,-0.02,中立,94327,1931816405.5080333,23.13509357,0.7802,628,金融,18.12206141,16.8568065
PVG,"Pretium Resources, Inc.",10.28,2.6973027,0.27,買い,1154447,1931591998.801902,,-0.12081079,,非エネルギー鉱物,9.7938472,10.33161494
DFH,"Dream Finders Homes, Inc.",20.81,-2.30046948,-0.49,強い売り,166402,1925371996.629208,20.19728021,1.0442,,テクノロジーサービス,21.36033811,
AVPT,"AvePoint, Inc.",10.68,7.44466801,0.74,買い,2330637,1925311906.4315352,,-1.1533,2,テクノロジーサービス,9.77254954,11.11216749
PRAA,"PRA Group, Inc.",41.99,0.16698473,0.07,買い,181982,1924677556.953704,10.39153283,4.0873,3820,商業サービス,40.80551167,38.57748466
SMCI,"Super Micro Computer, Inc.",38,0.42283298,0.16,買い,151188,1922437737.7197657,17.93169334,2.1899,4155,電子テクノロジー,36.59019483,34.29413142
AMCX,AMC Networks Inc.,45.53,-3.0451448,-1.43,強い売り,265213,1922080022.6842215,7.74815228,6.2507,2002,消費者サービス,48.86957208,49.78447065
PATK,"Patrick Industries, Inc.",81,-1.61545002,-1.33,売り,73625,1917337851.076393,10.40285634,7.9821,8700,耐久消費財,83.07496705,77.61911797
ASZ,Austerlitz Acquisition Corporation II,9.72,0.10298661,0.01,買い,2081186,1916228523.0432992,,,5,金融,9.69749138,
MNRO,"Monro, Inc.",57.15,0.72259429,0.41,中立,150388,1914841394.6964316,41.03591462,1.395,7800,小売業,56.84993714,60.13791693
PJT,PJT Partners Inc.,77.93,-1.00355691,-0.79,売り,110823,1904611831.644447,15.87818273,5.1204,749,金融,78.77253694,71.47786588
DKL,"Delek Logistics Partners, L.P.",43.77,0.36688833,0.16,買い,32209,1901956805.6680703,10.62692652,4.0235,,工業サービス,41.57250143,38.17816145
STRA,"Strategic Education, Inc.",77.25,-0.19379845,-0.15,買い,189320,1901325053.98574,40.08858217,1.9561,3679,消費者サービス,76.64248915,85.977362
MDRX,"Allscripts Healthcare Solutions, Inc.",15.2,-1.17035111,-0.18,強い売り,1145928,1900165193.2474225,,-2.6171,8400,テクノロジーサービス,16.0441251,15.55185974
TBLA,Taboola.com Ltd.,8.99,-3.22927879,-0.3,中立,4172562,1898672551.030769,,,,テクノロジーサービス,8.86329897,10.45907396
NMIH,NMI Holdings Inc,22.12,-1.77619893,-0.4,強い売り,459749,1895761037.3997335,9.86100759,2.3099,262,金融,22.36793954,22.54062032
GRWG,GrowGeneration Corp.,31.8,0.82435003,0.26,売り,807350,1895510031.2730684,105.02628121,0.3151,407,流通サービス,33.26975845,37.69593875
GPRE,"Green Plains, Inc.",35.29,-3.50013672,-1.28,買い,671248,1893298234.4418216,,-2.3882,839,素材産業,35.16510136,27.71683724
MDP,Meredith Corporation,41.66,-3.65402405,-1.58,売り,226604,1891676785.229006,6.83038282,6.3319,,消費者サービス,42.76119572,34.02442298
PRO,"PROS Holdings, Inc.",42.54,-0.51449953,-0.22,中立,69061,1887870051.7004347,,-1.7586,1403,テクノロジーサービス,42.25254422,43.46463542
QTRX,Quanterix Corporation,51.59,-0.48225309,-0.25,中立,139889,1884213237.0219305,,-0.8575,314,健康テクノロジー,50.48833537,53.21582033
GBT,"Global Blood Therapeutics, Inc.",30.17,-1.21152587,-0.37,中立,700944,1882971982.6043549,,-4.2952,389,健康テクノロジー,29.17579145,39.75682464
GVA,Granite Construction Incorporated,40.93,-0.2437241,-0.1,買い,148087,1875440769.1697075,,-2.0808,5400,工業サービス,40.18046173,35.72442384
SCR,Score Media and Gaming Inc. - Subordinate Voting Shares,35.49,-0.67170445,-0.24,買い,396412,1875299381.5052445,,-1.56576442,271,テクノロジーサービス,32.5441403,20.40871546
CMRE,Costamare Inc.,15.3,2.13618158,0.32,買い,745906,1874609595.9522183,9.94974192,1.4724,1804,交通,13.16992007,10.21028368
CDE,"Coeur Mining, Inc.",7.29,4.14285714,0.29,買い,3656585,1873717928.6909869,23.7109905,0.2978,1959,非エネルギー鉱物,6.92828789,8.27117205
LBRT,Liberty Oilfield Services Inc.,10.38,-1.61137441,-0.17,中立,468273,1870174117.7244096,,-1.3157,1946,工業サービス,10.3008607,11.44139353
DCPH,"Deciphera Pharmaceuticals, Inc.",32.22,-1.46788991,-0.48,中立,179613,1870094244.3298333,,-4.5022,350,健康テクノロジー,30.55351135,39.72973298
MAG,MAG Silver Corporation,19.66,4.02116402,0.76,買い,544424,1867948149.4229643,714.37489362,0.02664944,8,非エネルギー鉱物,18.85961441,18.56171172
LIDR,"AEye, Inc.",10.73,14.51440768,1.36,強い買い,429293,1867265114.3882225,,-0.059,3,金融,9.43540928,
PRK,Park National Corporation,114.27,-1.42339545,-1.65,強い売り,44329,1866796250.6759465,12.1443507,9.6835,1756,金融,117.7907168,115.53655104
KN,Knowles Corporation,20.29,1.14656032,0.23,買い,1063193,1866406179.3013492,28.83700821,0.7076,7000,電子テクノロジー,19.90764093,19.41653707
